Date,PracticeCode,HB,HSCP,Sex,AllAges,Ages0to4,Ages5to14,Ages15to24,Ages25to44,Ages45to64,Ages65to74,Ages75to84,Ages85plus,Sex_Type,Total_Female,Total_Male
20231001,11650,S08000030,S37000007,Female,3189,135,332,376,946,783,322,209,86,0,,
20231001,11650,S08000030,S37000007,All,6291,277,649,700,1895,1584,664,384,138,1,3189,3102
20231001,11823,S08000030,S37000007,Male,4297,216,567,517,1219,1079,411,223,65,0,,
20231001,11823,S08000030,S37000007,Female,4378,213,551,470,1218,1095,437,283,111,0,,
20231001,11823,S08000030,S37000007,All,8675,429,1118,987,2437,2174,848,506,176,1,4378,4297
20231001,11861,S08000030,S37000007,Male,4416,179,420,512,1583,1045,368,240,69,0,,
20231001,11861,S08000030,S37000007,Female,4011,146,379,513,1210,924,380,335,124,0,,
20231001,11861,S08000030,S37000007,All,8427,325,799,1025,2793,1969,748,575,193,1,4011,4416
20231001,11931,S08000030,S37000007,Male,3369,113,361,385,919,974,372,197,48,0,,
20231001,11931,S08000030,S37000007,Female,3334,107,316,352,861,974,386,250,88,0,,
20231001,11931,S08000030,S37000007,All,6703,220,677,737,1780,1948,758,447,136,1,3334,3369
20231001,12210,S08000030,S37000007,Male,2554,131,300,292,750,687,250,102,42,0,,
20231001,12210,S08000030,S37000007,Female,2687,138,271,280,788,662,285,183,80,0,,
20231001,12210,S08000030,S37000007,All,5241,269,571,572,1538,1349,535,285,122,1,2687,2554
20231001,12281,S08000030,S37000007,Male,4459,152,293,859,1797,850,299,165,44,0,,
20231001,12281,S08000030,S37000007,Female,4599,114,270,1384,1480,766,284,203,98,0,,
20231001,12281,S08000030,S37000007,All,9058,266,563,2243,3277,1616,583,368,142,1,4599,4459
20231001,12831,S08000030,S37000007,Male,2348,112,273,282,749,599,194,106,33,0,,
20231001,12831,S08000030,S37000007,Female,2252,100,279,286,711,528,168,124,56,0,,
20231001,12831,S08000030,S37000007,All,4600,212,552,568,1460,1127,362,230,89,1,2252,2348
20231001,13049,S08000030,S37000033,Male,2042,93,198,173,454,602,277,185,60,0,,
20231001,13049,S08000030,S37000033,Female,2190,89,170,231,455,676,283,206,80,0,,
20231001,13049,S08000030,S37000033,All,4232,182,368,404,909,1278,560,391,140,1,2190,2042
20231001,13091,S08000030,S37000003,Male,1354,58,120,140,269,368,210,148,41,0,,
20231001,13091,S08000030,S37000003,Female,1353,55,146,95,253,395,207,147,55,0,,
20231001,13091,S08000030,S37000003,All,2707,113,266,235,522,763,417,295,96,1,1353,1354
20231001,13142,S08000030,S37000033,Male,1781,98,221,180,405,511,209,113,44,0,,
20231001,13142,S08000030,S37000033,Female,1802,99,191,162,452,531,193,127,47,0,,
20231001,13142,S08000030,S37000033,All,3583,197,412,342,857,1042,402,240,91,1,1802,1781
20231001,13195,S08000030,S37000003,Male,2204,103,216,220,494,598,305,208,60,0,,
20231001,13195,S08000030,S37000003,Female,2427,91,225,227,545,661,333,254,91,0,,
20231001,13195,S08000030,S37000003,All,4631,194,441,447,1039,1259,638,462,151,1,2427,2204
20231001,13231,S08000030,S37000003,Male,4657,146,455,486,1058,1376,594,433,109,0,,
20231001,13231,S08000030,S37000003,Female,4491,158,430,435,971,1310,597,421,169,0,,
20231001,13231,S08000030,S37000003,All,9148,304,885,921,2029,2686,1191,854,278,1,4491,4657
20231001,13284,S08000030,S37000003,Male,3536,177,378,345,834,960,461,282,99,0,,
20231001,13284,S08000030,S37000003,Female,3798,173,341,360,906,1073,485,312,148,0,,
20231001,13284,S08000030,S37000003,All,7334,350,719,705,1740,2033,946,594,247,1,3798,3536
20231001,13481,S08000030,S37000033,Male,4729,160,500,521,912,1452,641,421,122,0,,
20231001,13481,S08000030,S37000033,Female,4980,176,476,492,950,1545,680,495,166,0,,
20231001,13481,S08000030,S37000033,All,9709,336,976,1013,1862,2997,1321,916,288,1,4980,4729
20231001,13496,S08000030,S37000033,Male,2275,130,275,227,529,600,294,177,43,0,,
20231001,13496,S08000030,S37000033,Female,2347,115,284,197,593,642,287,168,61,0,,
20231001,13496,S08000030,S37000033,All,4622,245,559,424,1122,1242,581,345,104,1,2347,2275
20231001,13532,S08000030,S37000003,Male,4386,174,484,474,995,1249,539,379,92,0,,
20231001,13532,S08000030,S37000003,Female,4534,175,433,425,995,1328,547,480,151,0,,
20231001,13532,S08000030,S37000003,All,8920,349,917,899,1990,2577,1086,859,243,1,4534,4386
20231001,13571,S08000030,S37000003,Male,5407,254,658,551,1210,1420,631,515,168,0,,
20231001,13571,S08000030,S37000003,Female,5918,227,645,559,1303,1523,732,621,308,0,,
20231001,13571,S08000030,S37000003,All,11325,481,1303,1110,2513,2943,1363,1136,476,1,5918,5407
20231001,13621,S08000030,S37000003,Male,3457,152,410,367,828,962,423,234,81,0,,
20231001,13621,S08000030,S37000003,Female,3576,155,357,353,837,1016,434,304,120,0,,
20231001,13621,S08000030,S37000003,All,7033,307,767,720,1665,1978,857,538,201,1,3576,3457
20231001,13660,S08000030,S37000003,Male,2430,94,279,278,582,728,271,148,50,0,,
20231001,13660,S08000030,S37000003,Female,2404,89,276,246,562,712,280,181,58,0,,
20231001,13660,S08000030,S37000003,All,4834,183,555,524,1144,1440,551,329,108,1,2404,2430
20231001,13706,S08000030,S37000003,Male,3017,115,345,319,726,853,343,262,54,0,,
20231001,13706,S08000030,S37000003,Female,2950,95,306,280,686,845,381,263,94,0,,
20231001,13706,S08000030,S37000003,All,5967,210,651,599,1412,1698,724,525,148,1,2950,3017
20231001,13848,S08000030,S37000033,Male,3296,130,349,360,863,936,370,230,58,0,,
20231001,13848,S08000030,S37000033,Female,3297,103,318,316,847,946,383,267,117,0,,
20231001,13848,S08000030,S37000033,All,6593,233,667,676,1710,1882,753,497,175,1,3297,3296
20231001,13891,S08000030,S37000033,Male,4665,224,497,521,1330,1199,461,336,97,0,,
20231001,13891,S08000030,S37000033,Female,4957,195,468,553,1289,1304,592,390,166,0,,
20231001,13891,S08000030,S37000033,All,9622,419,965,1074,2619,2503,1053,726,263,1,4957,4665
20231001,13941,S08000030,S37000033,Male,5422,248,635,625,1438,1460,569,340,107,0,,
20231001,13941,S08000030,S37000033,Female,5576,222,592,548,1432,1528,614,434,206,0,,
20231001,13941,S08000030,S37000033,All,10998,470,1227,1173,2870,2988,1183,774,313,1,5576,5422
20231001,13975,S08000030,S37000033,Male,1879,74,236,208,609,483,150,92,27,0,,
20231001,13975,S08000030,S37000033,Female,1820,80,213,204,538,457,176,102,50,0,,
