Date,PracticeCode,HB,HSCP,Sex,AllAges,Ages0to4,Ages5to14,Ages15to24,Ages25to44,Ages45to64,Ages65to74,Ages75to84,Ages85plus,Sex_Type,Total_Female,Total_Male
20220401,11645,S08000030,S37000007,Male,4261,216,593,573,1216,1044,386,183,50,,,
20220401,11645,S08000030,S37000007,Female,4274,169,521,520,1181,1150,408,222,103,,,
20220401,11645,S08000030,S37000007,All,8535,385,1114,1093,2397,2194,794,405,153,1,4274,4261
20220401,11650,S08000030,S37000007,Male,2978,131,302,290,882,822,329,170,52,,,
20220401,11650,S08000030,S37000007,Female,3117,136,349,331,881,810,318,204,88,,,
20220401,11650,S08000030,S37000007,All,6095,267,651,621,1763,1632,647,374,140,1,3117,2978
20220401,11823,S08000030,S37000007,Male,4222,213,572,504,1207,1072,394,211,49,,,
20220401,11823,S08000030,S37000007,Female,4280,233,534,462,1176,1080,426,269,100,,,
20220401,11823,S08000030,S37000007,All,8502,446,1106,966,2383,2152,820,480,149,1,4280,4222
20220401,11861,S08000030,S37000007,Male,4151,164,379,482,1454,1000,378,226,68,,,
20220401,11861,S08000030,S37000007,Female,3783,140,334,499,1056,940,365,326,123,,,
20220401,11861,S08000030,S37000007,All,7934,304,713,981,2510,1940,743,552,191,1,3783,4151
20220401,11931,S08000030,S37000007,Male,3068,126,349,337,812,904,332,165,43,,,
20220401,11931,S08000030,S37000007,Female,3067,101,308,324,739,917,355,238,85,,,
20220401,11931,S08000030,S37000007,All,6135,227,657,661,1551,1821,687,403,128,1,3067,3068
20220401,12210,S08000030,S37000007,Male,1726,92,182,202,532,476,161,59,22,,,
20220401,12210,S08000030,S37000007,Female,1887,93,188,202,550,464,206,132,52,,,
20220401,12210,S08000030,S37000007,All,3613,185,370,404,1082,940,367,191,74,1,1887,1726
20220401,12281,S08000030,S37000007,Male,3797,123,276,657,1399,840,287,181,34,,,
20220401,12281,S08000030,S37000007,Female,3770,108,258,918,1157,746,298,185,100,,,
20220401,12281,S08000030,S37000007,All,7567,231,534,1575,2556,1586,585,366,134,1,3770,3797
20220401,12831,S08000030,S37000007,Male,2031,76,236,237,606,564,175,104,33,,,
20220401,12831,S08000030,S37000007,Female,1934,81,245,245,555,486,164,106,52,,,
20220401,12831,S08000030,S37000007,All,3965,157,481,482,1161,1050,339,210,85,1,1934,2031
20220401,12901,S08000030,S37000007,Male,2013,186,352,217,672,402,107,59,18,,,
20220401,12901,S08000030,S37000007,Female,2191,200,319,265,787,382,122,78,38,,,
20220401,12901,S08000030,S37000007,All,4204,386,671,482,1459,784,229,137,56,1,2191,2013
20220401,13049,S08000030,S37000033,Male,1969,73,210,164,429,588,280,165,60,,,
20220401,13049,S08000030,S37000033,Female,2122,80,183,195,427,675,289,199,74,,,
20220401,13049,S08000030,S37000033,All,4091,153,393,359,856,1263,569,364,134,1,2122,1969
20220401,13091,S08000030,S37000003,Male,1333,61,116,132,268,382,205,128,41,,,
20220401,13091,S08000030,S37000003,Female,1358,61,141,100,241,410,216,140,49,,,
20220401,13091,S08000030,S37000003,All,2691,122,257,232,509,792,421,268,90,1,1358,1333
20220401,13142,S08000030,S37000033,Male,1628,98,209,134,377,486,178,114,32,,,
20220401,13142,S08000030,S37000033,Female,1654,84,192,136,416,484,183,118,41,,,
20220401,13142,S08000030,S37000033,All,3282,182,401,270,793,970,361,232,73,1,1654,1628
20220401,13195,S08000030,S37000003,Male,1882,86,192,194,417,502,278,165,48,,,
20220401,13195,S08000030,S37000003,Female,2053,92,185,201,465,553,282,195,80,,,
20220401,13195,S08000030,S37000003,All,3935,178,377,395,882,1055,560,360,128,1,2053,1882
20220401,13231,S08000030,S37000003,Male,4684,153,471,487,1054,1404,607,414,94,,,
20220401,13231,S08000030,S37000003,Female,4522,168,454,436,979,1302,609,401,173,,,
20220401,13231,S08000030,S37000003,All,9206,321,925,923,2033,2706,1216,815,267,1,4522,4684
20220401,13284,S08000030,S37000003,Male,3293,166,354,323,753,921,441,244,91,,,
20220401,13284,S08000030,S37000003,Female,3522,146,328,336,817,1005,462,291,137,,,
20220401,13284,S08000030,S37000003,All,6815,312,682,659,1570,1926,903,535,228,1,3522,3293
20220401,13335,S08000030,S37000003,Male,1719,78,156,174,320,527,249,175,40,,,
20220401,13335,S08000030,S37000003,Female,1758,44,186,149,334,548,279,170,48,,,
20220401,13335,S08000030,S37000003,All,3477,122,342,323,654,1075,528,345,88,1,1758,1719
20220401,13369,S08000030,S37000033,Male,946,49,136,96,251,258,92,44,20,,,
20220401,13369,S08000030,S37000033,Female,935,49,116,71,283,226,92,65,33,,,
20220401,13369,S08000030,S37000033,All,1881,98,252,167,534,484,184,109,53,1,935,946
20220401,13481,S08000030,S37000033,Male,4815,185,528,517,944,1496,643,400,102,,,
20220401,13481,S08000030,S37000033,Female,5105,190,525,494,982,1620,692,443,159,,,
20220401,13481,S08000030,S37000033,All,9920,375,1053,1011,1926,3116,1335,843,261,1,5105,4815
20220401,13496,S08000030,S37000033,Male,1995,89,267,195,425,558,271,157,33,,,
20220401,13496,S08000030,S37000033,Female,2068,93,250,169,479,632,242,154,49,,,
20220401,13496,S08000030,S37000033,All,4063,182,517,364,904,1190,513,311,82,1,2068,1995
20220401,13532,S08000030,S37000003,Male,4308,170,493,480,944,1249,535,343,94,,,
20220401,13532,S08000030,S37000003,Female,4468,178,449,430,956,1324,551,439,141,,,
20220401,13532,S08000030,S37000003,All,8776,348,942,910,1900,2573,1086,782,235,1,4468,4308
20220401,13571,S08000030,S37000003,Male,5214,264,648,523,1164,1380,626,448,161,,,
20220401,13571,S08000030,S37000003,Female,5724,230,643,524,1255,1466,775,533,298,,,
20220401,13571,S08000030,S37000003,All,10938,494,1291,1047,2419,2846,1401,981,459,1,5724,5214
20220401,13621,S08000030,S37000003,Male,3356,159,412,343,800,948,405,214,75,,,
20220401,13621,S08000030,S37000003,Female,3480,150,358,337,804,995,427,279,130,,,
20220401,13621,S08000030,S37000003,All,6836,309,770,680,1604,1943,832,493,205,1,3480,3356
20220401,13660,S08000030,S37000003,Male,2358,95,267,273,569,705,275,127,47,,,
20220401,13660,S08000030,S37000003,Female,2372,108,263,234,562,692,284,171,58,,,
20220401,13660,S08000030,S37000003,All,4730,203,530,507,1131,1397,559,298,105,1,2372,2358
20220401,13706,S08000030,S37000003,Male,2978,116,327,322,741,831,351,231,59,,,
20220401,13706,S08000030,S37000003,Female,2916,111,311,265,690,825,377,243,94,,,
20220401,13706,S08000030,S37000003,All,5894,227,638,587,1431,1656,728,474,153,1,2916,2978
20220401,13848,S08000030,S37000033,Male,3260,144,357,346,854,924,377,195,63,,,
20220401,13848,S08000030,S37000033,Female,3298,126,327,304,845,947,375,245,129,,,
20220401,13848,S08000030,S37000033,All,6558,270,684,650,1699,1871,752,440,192,1,3298,3260
20220401,13891,S08000030,S37000033,Male,4446,206,463,517,1224,1169,462,311,94,,,
20220401,13891,S08000030,S37000033,Female,4741,181,466,528,1160,1304,568,377,157,,,
20220401,13891,S08000030,S37000033,All,9187,387,929,1045,2384,2473,1030,688,251,1,4741,4446
20220401,13941,S08000030,S37000033,Male,5305,263,636,611,1369,1448,546,323,109,,,
20220401,13941,S08000030,S37000033,Female,5575,218,609,555,1409,1547,616,417,204,,,
20220401,13941,S08000030,S37000033,All,10880,481,1245,1166,2778,2995,1162,740,313,1,5575,5305
20220401,13975,S08000030,S37000033,Male,1873,95,224,218,588,490,145,86,27,,,
20220401,13975,S08000030,S37000033,Female,1854,94,213,219,543,453,173,108,51,,,
20220401,13975,S08000030,S37000033,All,3727,189,437,437,1131,943,318,194,78,1,1854,1873
20220401,14037,S08000030,S37000033,Male,7644,315,805,1035,1743,2013,941,591,201,,,
20220401,14037,S08000030,S37000033,Female,8141,272,828,1003,1740,2205,1035,693,365,,,
20220401,14037,S08000030,S37000033,All,15785,587,1633,2038,3483,4218,1976,1284,566,1,8141,7644
20220401,14249,S08000030,S37000033,Male,3555,165,400,399,1016,970,397,162,46,,,
20220401,14249,S08000030,S37000033,Female,3444,155,394,341,1002,889,364,211,88,,,
