gp_number,q1_positive,q2_positive,q3_positive
49445,80.61,88.28,78.7
18451,93.98,98.26,96.96
20409,58.9,89.49,52.36
25065,89,98.95,85.73
13091,80.6,95.29,80.01
80330,69.25,94.07,69.57
49093,47.85,51.75,43.65
16051,63.43,91.02,69.01
31901,46.81,86.5,41.75
30203,68.98,90.95,71.84
49619,65.71,85.03,65.14
11486,81.34,95.08,78.51
16507,27.29,59,38.41
55836,61.94,79.78,56.81
25169,67.89,85.45,73.13
11382,50.69,77.42,52.57
78062,74.12,78.16,76.26
43326,46.91,80.21,64.87
70164,70.22,80.64,72.75
31511,46.81,88.52,48.75
32750,41.47,67.52,38.79
62844,47.55,81,52.94
26015,28.95,61.97,28
25070,62.86,85.01,68.66
55381,81.97,77.63,75.25
80698,75.6,90.82,66.85
13335,95.46,100,90.79
62045,42.88,79.57,48.86
40008,75.11,97.15,75.43
31719,55.82,94.51,54.25
43011,77.13,95.76,70.53
18625,48.06,46.09,55.3
63512,68.47,74.05,70.34
80260,56.12,91.78,62.35
40192,82.44,98.32,81.92
85117,84.4,95.51,84.2
40436,61.44,89.67,61.54
30030,63.73,67.34,54.28
55944,96.24,96.08,96.17
31211,57.92,79.26,46.01
18310,85.15,90.07,85.07
71222,82.25,92.8,78.17
40629,74.73,91.6,72.78
62632,56.25,90.95,59.26
55610,80.1,79.3,73.59
60228,74.18,94.41,68.17
87517,67.97,80.84,64.44
55554,93.98,98.79,98.25
16244,91.78,97.56,84.98
87019,56.19,93.53,60.62
18235,95.7,100,96.84
33061,77.58,88.86,80.25
18589,96.22,98.69,95.03
46057,66.27,72.36,67.51
55220,83.38,91.84,88.28
86001,60.79,62.9,54.16
70516,53.01,81.08,50.34
25309,42.04,61.18,41.25
70412,87.61,97.03,87
55925,71.62,98.34,75.7
30307,65.89,89.14,59.24
13891,80.11,88.94,73.94
18409,80.4,100,73.26
49568,41.68,78.63,46.07
16475,100,100,96.1
18428,75.74,91.16,78.97
18560,69.25,93.67,65.42
10106,58.85,85.45,43.44
76029,75.28,90.52,70.12
31916,56.68,87.85,64.35
30218,65.85,74.11,57.87
63461,34.63,85.25,39.95
11363,67.54,97.11,59.74
38205,83.29,92.19,87.01
55287,86.77,96.31,86.07
71449,71.71,87.18,74
62219,58.52,65.82,52.8
11861,57.24,82.26,49.66
39034,98.63,100,96.33
30059,75.32,82.78,68.1
20471,49.79,75.72,49.79
78255,43.18,67.74,46.14
21101,64.57,93.5,62.19
63264,53.21,78.64,49.21
85259,64.77,72.55,60.71
70291,64.22,86.73,62.66
32001,78.96,92.54,74.16
32514,62.18,92.28,59.96
76141,78.76,92.32,78.92
13369,75.14,90.8,70.93
20752,74.08,94.13,67.47
32021,55.14,86.49,49.68
38084,87.18,97.05,91.09
60054,33.16,70.3,28.43
16032,50.5,81.99,52.81
62050,31.67,73.93,33.13
84383,87.64,100,79.27
32904,36.06,57.96,42.68
16136,80.9,95.16,76.54
20803,64.74,94.12,72.27
43203,58.55,60.28,57.44
32035,67.92,81.89,68.98
61358,51.63,81.65,49.63
43171,79.36,79.99,77.51
20856,57.88,82.49,46.33
43237,70.79,93.31,74.82
40385,63.98,90.44,61.8
40101,69.31,88.9,76.24
80363,71.97,96.49,75.96
63283,51.85,65.59,54.37
85193,89.64,96.18,83.35
61305,77.99,90.23,70.81
25347,91.81,89.44,86.87
25351,77.8,81.3,81.03
61502,28.53,69.05,35.66
80753,56.2,84.42,58.49
30401,69.71,78.49,65.07
87490,69.04,93.11,74.87
20907,66.64,92.14,64.55
25099,77.39,83.96,81.03
13848,79.57,84.47,73.22
78128,58.86,80.74,60.26
62346,53.76,78.89,65.02
87714,71.66,94.35,70.66
55817,83.23,85.01,77.53
49770,76.08,79.91,72.39
40737,75.39,82.86,73.73
31009,91.24,97.01,90.49
55930,86.76,84.28,82.32
55639,76.58,92.52,77.82
55860,78.97,94.46,80
84810,78.76,93.56,81.11
25366,88.52,94.38,88.63
80541,88.65,95,85.91
63245,43.16,71.47,37.11
13532,84.63,89.1,80.87
63250,64.55,83.48,57.81
40332,85.61,94.56,83.47
62736,84.15,96.67,75.35
55569,82.76,92.01,85.45
70361,71.03,91.4,68.32
70220,64.93,77.83,59.07
55249,90.16,100,97.62
76071,88.53,96.42,84.31
63724,23.09,77.06,29.86
90204,70.92,84.62,72.87
18447,87.73,91.31,91.04
78109,47.11,84.56,49.86
80857,60.93,84.94,51.75
76161,89.67,93.89,87.92
32529,60.29,81.26,68.18
71114,79.74,93.38,81.46
70179,82.26,79.58,84.04
43261,58.8,85.86,56.8
39091,74.34,96.77,77.11
21153,67.34,78.78,62.59
70107,69.24,89.45,62.9
85066,72.93,90.01,69.01
39072,71.39,94.61,74.18
87165,52.41,59.1,52.99
70376,74.14,93.38,75.26
20502,54.29,84.7,56.28
63813,62.01,89.48,53.53
78113,58.57,81.41,65.21
71398,73.02,95.79,69.99
30627,81.21,87.46,76.61
32707,73.57,92.33,66.98
78166,83.43,87.09,82.62
