GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Ethnic group in Scotland [S] : Total\ Ethnic group (Scotland) - Unit : Persons,Ethnic group in Scotland [S] : White - Unit : Persons,Ethnic group in Scotland [S] : White\ Scottish - Unit : Persons,Ethnic group in Scotland [S] : White\ Other British - Unit : Persons,Ethnic group in Scotland [S] : White\ Irish - Unit : Persons,Ethnic group in Scotland [S] : White\ Gypsy/Traveller - Unit : Persons,Ethnic group in Scotland [S] : White\ Polish - Unit : Persons,Ethnic group in Scotland [S] : White\ Other White - Unit : Persons,Ethnic group in Scotland [S] : Mixed or multiple ethnic groups\ Any mixed or multiple ethnic groups - Unit : Persons,Ethnic group in Scotland [S] : Asian; Asian Scottish or Asian British - Unit : Persons,Ethnic group in Scotland [S] : Asian; Asian Scottish or Asian British\ Pakistani; Pakistani Scottish or Pakistani British - Unit : Persons,Ethnic group in Scotland [S] : Asian; Asian Scottish or Asian British\ Indian; Indian Scottish or Indian British - Unit : Persons,Ethnic group in Scotland [S] : Asian; Asian Scottish or Asian British\ Bangladeshi; Bangladeshi Scottish or Bangladeshi British - Unit : Persons,Ethnic group in Scotland [S] : Asian; Asian Scottish or Asian British\ Chinese; Chinese Scottish or Chinese British - Unit : Persons,Ethnic group in Scotland [S] : Asian; Asian Scottish or Asian British\ Other Asian - Unit : Persons,Ethnic group in Scotland [S] : African - Unit : Persons,Ethnic group in Scotland [S] : African\ African; African Scottish or African British - Unit : Persons,Ethnic group in Scotland [S] : African\ Other African - Unit : Persons,Ethnic group in Scotland [S] : Caribbean or Black - Unit : Persons,Ethnic group in Scotland [S] : Caribbean or Black\ Caribbean; Caribbean Scottish or Caribbean British - Unit : Persons,Ethnic group in Scotland [S] : Caribbean or Black\ Black; Black Scottish or Black British - Unit : Persons,Ethnic group in Scotland [S] : Caribbean or Black\ Other Caribbean or Black - Unit : Persons,Ethnic group in Scotland [S] : Other ethnic group - Unit : Persons,Ethnic group in Scotland [S] : Other ethnic group\ Arab; Arab Scottish or Arab British - Unit : Persons,Ethnic group in Scotland [S] : Other ethnic group\ Other ethnic group - Unit : Persons
S01007220,Montrose North - 06,Lower Super Output Areas and Data Zones,LSOADZ,701,694,636,50,3,0,0,5,0,1,0,0,0,0,1,5,5,0,0,0,0,0,1,0,1
S01007221,Hillside - 01,Lower Super Output Areas and Data Zones,LSOADZ,703,691,595,74,5,9,0,8,5,4,0,1,0,1,2,3,2,1,0,0,0,0,0,0,0
S01007222,Hillside - 02,Lower Super Output Areas and Data Zones,LSOADZ,806,797,717,62,4,6,5,3,2,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
S01007223,Hillside - 03,Lower Super Output Areas and Data Zones,LSOADZ,531,529,461,64,2,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
S01007224,Hillside - 04,Lower Super Output Areas and Data Zones,LSOADZ,615,612,550,47,2,3,5,5,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
S01007225,Hillside - 05,Lower Super Output Areas and Data Zones,LSOADZ,880,868,711,135,5,3,0,14,3,7,2,0,1,0,4,2,2,0,0,0,0,0,0,0,0
S01007226,Friockheim - 01,Lower Super Output Areas and Data Zones,LSOADZ,797,790,655,111,1,2,8,13,3,3,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
S01007227,Friockheim - 02,Lower Super Output Areas and Data Zones,LSOADZ,962,951,848,84,5,0,4,10,6,5,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0
S01007228,Friockheim - 03,Lower Super Output Areas and Data Zones,LSOADZ,648,641,539,92,1,0,1,8,2,4,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0
S01007229,Friockheim - 04,Lower Super Output Areas and Data Zones,LSOADZ,1102,1095,907,167,4,0,4,13,5,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
S01007230,Brechin East - 01,Lower Super Output Areas and Data Zones,LSOADZ,750,745,599,38,3,0,78,27,0,5,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
S01007231,Brechin East - 02,Lower Super Output Areas and Data Zones,LSOADZ,701,694,610,38,0,1,27,18,2,3,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0
S01007232,Brechin East - 03,Lower Super Output Areas and Data Zones,LSOADZ,726,718,609,62,2,2,21,22,0,1,0,0,0,0,1,3,3,0,3,1,2,0,1,1,0
S01007233,Brechin East - 04,Lower Super Output Areas and Data Zones,LSOADZ,788,775,680,50,6,0,20,19,1,12,5,0,0,2,5,0,0,0,0,0,0,0,0,0,0
S01007234,Brechin East - 05,Lower Super Output Areas and Data Zones,LSOADZ,630,629,575,34,5,0,10,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
S01007235,Brechin West - 01,Lower Super Output Areas and Data Zones,LSOADZ,774,767,658,65,2,0,19,23,0,4,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0
S01007236,Brechin West - 02,Lower Super Output Areas and Data Zones,LSOADZ,620,603,546,48,2,0,4,3,0,15,6,4,0,0,5,0,0,0,1,1,0,0,1,0,1
S01007237,Brechin West - 03,Lower Super Output Areas and Data Zones,LSOADZ,719,707,656,41,1,2,3,4,3,7,0,4,0,0,3,1,1,0,0,0,0,0,1,1,0
